prediction,bbox
DETAILS,"(845, 40, 73, 26)"
RANK,"(667, 42, 51, 24)"
1965,"(1482, 87, 39, 19)"
15,"(715, 120, 28, 28)"
18,"(850, 120, 31, 31)"
potato@,"(1031, 119, 105, 29)"
BLANK,"(755, 122, 86, 24)"
3XTRM/XMACHAAN,"(395, 127, 171, 19)"
3,"(587, 127, 16, 19)"
10,"(907, 125, 24, 21)"
2,"(1230, 127, 13, 19)"
a,"(567, 127, 21, 21)"
Deadshot.,"(697, 192, 96, 24)"
6,"(990, 195, 13, 18)"
XERIN,"(1015, 195, 56, 21)"
"Reaper,","(387, 197, 74, 19)"
for,"(375, 227, 28, 26)"
(or,"(495, 227, 33, 29)"
BMAFIAN,"(402, 230, 94, 21)"
8,"(670, 232, 11, 16)"
Pathansohil,"(694, 232, 106, 18)"
9,"(990, 232, 16, 19)"
QZVEL665520,"(1012, 230, 156, 26)"
10,"(345, 265, 23, 21)"
TBA,"(372, 265, 39, 21)"
Shashanka,"(420, 267, 98, 21)"
11,"(670, 267, 16, 19)"
chipmonk486,"(694, 265, 122, 25)"
a,"(890, 267, 18, 19)"
12,"(985, 265, 23, 21)"
Scout,"(1015, 267, 53, 21)"
Sniper,"(1075, 267, 56, 21)"
13,"(345, 300, 23, 23)"
STR/VVRAJOT,"(369, 297, 122, 29)"
a,"(570, 302, 18, 19)"
2,"(590, 302, 13, 19)"
14,"(665, 300, 23, 23)"
STIKKBROTHERS,"(692, 297, 151, 29)"
01,"(890, 300, 31, 21)"
15,"(985, 300, 21, 23)"
rainzyvvvy,"(1012, 307, 106, 19)"
a,"(570, 337, 18, 21)"
a,"(1210, 337, 18, 21)"
16,"(345, 337, 23, 21)"
ALPHAOp,"(375, 340, 86, 21)"
17,"(665, 337, 21, 21)"
Aksh@y777,"(695, 340, 96, 21)"
a,"(887, 337, 21, 21)"
18,"(985, 337, 23, 21)"
HYDRACHAMPI,"(1012, 337, 139, 21)"
01,"(570, 375, 31, 18)"
20,"(665, 372, 23, 24)"
01,"(887, 372, 34, 26)"
21,"(985, 372, 23, 24)"
a,"(1212, 375, 16, 21)"
19,"(345, 375, 21, 21)"
tevargamers,"(372, 377, 116, 22)"
MFX1-1,"(695, 377, 53, 19)"
ACES,"(745, 375, 51, 21)"
SanHawk,"(1015, 377, 86, 19)"
22,"(345, 410, 23, 21)"
a,"(570, 412, 18, 19)"
23,"(665, 410, 23, 21)"
Warmachineyuvi,"(694, 411, 149, 23)"
Cl,"(887, 410, 34, 23)"
24,"(985, 410, 23, 21)"
EKiller,"(1050, 412, 61, 21)"
Mi,"(375, 415, 23, 16)"
Walker,"(405, 415, 63, 18)"
War,"(1015, 415, 36, 16)"
25,"(345, 445, 23, 23)"
26,"(665, 445, 23, 23)"
27,"(985, 445, 21, 23)"
Wetzies,"(375, 450, 71, 18)"
VMSSTARK.N,"(694, 449, 124, 19)"
sanjud509,"(1015, 450, 93, 18)"
28,"(345, 482, 23, 21)"
whoopdedoo,"(375, 485, 113, 21)"
29,"(665, 482, 23, 21)"
DCs3,"(692, 482, 54, 24)"
ellusion,"(745, 485, 68, 18)"
30,"(985, 482, 23, 21)"
YT,"(497, 487, 24, 16)"
naruto.naruto,"(1015, 487, 118, 16)"
31,"(345, 517, 21, 24)"
32,"(665, 517, 23, 24)"
33,"(985, 517, 23, 21)"
DISONQUE,"(372, 520, 116, 26)"
ICONS,"(692, 522, 61, 19)"
SHIKHAR,"(755, 522, 81, 19)"
gwertymember,"(1015, 522, 131, 19)"
34,"(347, 557, 21, 19)"
VER/1290-,"(382, 557, 94, 19)"
I,"(590, 557, 13, 16)"
35,"(665, 555, 23, 21)"
Gunsmensurge,"(694, 557, 144, 19)"
