prediction,bbox
RANK,"(744, 47, 57, 29)"
DETAILS,"(946, 47, 85, 29)"
Raj,"(1162, 135, 55, 35)"
BLIZZARDER,"(428, 140, 175, 29)"
shivamvrn01,"(795, 140, 186, 29)"
@,"(1226, 140, 23, 26)"
Rage,"(1262, 140, 74, 29)"
2,"(1388, 145, 18, 24)"
62,"(630, 148, 20, 21)"
6,"(652, 148, 18, 21)"
a,"(999, 148, 21, 21)"
a,"(1363, 145, 24, 24)"
CHETAN..np,"(405, 223, 128, 27)"
8,"(655, 224, 15, 20)"
SKAKAROTTOWRI,"(772, 221, 183, 26)"
61,"(1363, 221, 40, 29)"
5,"(747, 226, 15, 18)"
REDX10,"(1142, 226, 79, 21)"
2,"(655, 263, 15, 23)"
teamsamings10,"(405, 265, 162, 29)"
8,"(747, 266, 15, 20)"
God-Fearless,"(772, 263, 155, 26)"
Venom,"(1142, 266, 74, 23)"
a,"(1363, 263, 29, 26)"
Bravo,"(1223, 268, 63, 21)"
YT,"(1293, 268, 29, 18)"
01,"(1363, 302, 40, 29)"
0,"(655, 305, 12, 18)"
10,"(372, 305, 26, 23)"
11,"(744, 308, 21, 20)"
Vishu,"(823, 308, 60, 20)"
COD,"(890, 308, 46, 20)"
12,"(1108, 305, 24, 23)"
R3710.Gh057,"(1142, 308, 130, 20)"
Dynamo,"(431, 310, 85, 21)"
Itss,"(772, 310, 41, 18)"
01,"(1363, 344, 43, 32)"
13,"(372, 344, 26, 26)"
LESTIGER,"(403, 344, 110, 26)"
14,"(739, 347, 26, 23)"
KNOXX/YT,"(772, 347, 116, 26)"
15,"(1108, 347, 27, 23)"
prince541,"(1141, 347, 98, 26)"
0,"(1391, 386, 15, 23)"
16,"(372, 386, 26, 26)"
17,"(739, 386, 26, 26)"
18,"(1108, 386, 27, 26)"
suraj,"(1139, 386, 66, 26)"
a,"(1363, 386, 26, 26)"
RJ3030,"(403, 389, 79, 23)"
RockyBoylon,"(775, 391, 130, 21)"
19,"(372, 428, 26, 23)"
DKOCOD,"(403, 428, 93, 26)"
20,"(739, 428, 29, 26)"
ECC,"(772, 428, 46, 26)"
Lequi3RT,"(834, 431, 110, 23)"
21,"(1108, 428, 27, 26)"
Q,"(1363, 428, 29, 26)"
Sanjaysingams,"(1142, 434, 152, 23)"
22,"(372, 470, 26, 26)"
POWERSTARAS,"(403, 470, 160, 26)"
0,"(655, 473, 15, 18)"
23,"(739, 470, 29, 23)"
Max@23,"(823, 470, 85, 26)"
24,"(1108, 470, 27, 26)"
Ed,"(1363, 470, 26, 23)"
0,"(1391, 473, 15, 18)"
Mad,"(775, 476, 46, 20)"
Raav@naa,"(1142, 476, 105, 20)"
25,"(372, 509, 26, 26)"
26,"(739, 509, 29, 26)"
27,"(1108, 509, 27, 26)"
a,"(1369, 512, 18, 23)"
O,"(1391, 512, 12, 18)"
DEVITYHARSH,"(406, 515, 129, 20)"
6064mansoor,"(775, 515, 141, 20)"
soriez,"(1142, 518, 63, 17)"
28,"(372, 551, 26, 26)"
29,"(739, 551, 29, 26)"
"""krushna""","(778, 554, 119, 23)"
a,"(1369, 554, 20, 23)"
Devashish720,"(408, 557, 141, 20)"
30,"(1108, 554, 27, 23)"
ShivGyan,"(1142, 557, 96, 23)"
31,"(372, 593, 26, 26)"
0,"(655, 596, 12, 18)"
32,"(739, 593, 26, 26)"
33,"(1108, 593, 27, 26)"
RACHIT,"(1139, 593, 82, 26)"
Ed,"(1363, 593, 26, 26)"
0,"(1391, 596, 15, 21)"
dieonemoretime,"(406, 599, 163, 20)"
Bloodsuccer,"(775, 599, 124, 20)"
TANWAR,"(1229, 596, 93, 23)"
34,"(372, 635, 26, 26)"
(AMddicted:,"(403, 635, 141, 26)"
0,"(655, 638, 12, 18)"
35,"(739, 635, 29, 26)"
GREAEFROAM,"(772, 635, 147, 26)"
OJ,"(1024, 638, 13, 18)"
36,"(1108, 635, 27, 26)"
0,"(1391, 638, 15, 21)"
TsundereDragon,"(1142, 641, 166, 23)"
a,"(1369, 641, 18, 18)"
