prediction,bbox
16:33,"(69, 21, 96, 38)"
you,"(658, 21, 59, 42)"
be,"(782, 25, 48, 38)"
all,"(840, 29, 49, 34)"
2%,"(943, 25, 48, 34)"
will,"(895, 32, 49, 31)"
Transaction,"(215, 127, 228, 42)"
Successful,"(449, 127, 221, 42)"
02:05,"(212, 175, 88, 34)"
PM,"(303, 175, 52, 34)"
17,"(402, 175, 37, 34)"
Feb,"(442, 175, 63, 34)"
2022,"(504, 175, 78, 34)"
on,"(361, 182, 38, 27)"
Transaction,"(69, 325, 209, 41)"
ID,"(281, 325, 41, 37)"
T2202171,"(73, 394, 194, 42)"
40522261,"(263, 394, 198, 45)"
8482080,"(457, 394, 172, 45)"
COPY,"(892, 398, 88, 34)"
Paid,"(69, 585, 81, 41)"
to,"(153, 588, 41, 38)"
Debajit,"(237, 669, 144, 48)"
Borgohain,"(380, 669, 202, 48)"
DB,"(102, 702, 67, 44)"
"F10,000","(851, 701, 159, 45)"
568997545@yb.ll,"(237, 727, 279, 45)"
PAY,"(628, 862, 64, 34)"
AGAIN,"(694, 862, 100, 34)"
SHARE,"(881, 862, 107, 34)"
from,"(204, 1023, 85, 41)"
Debited,"(69, 1027, 133, 37)"
709541,"(314, 1107, 144, 42)"
xxxx,"(241, 1115, 78, 23)"
"F10,000","(851, 1144, 159, 41)"
UTR204337795192,"(237, 1166, 348, 41)"
Grow,"(237, 1345, 93, 38)"
SIPI,"(709, 1345, 63, 38)"
with,"(541, 1349, 77, 34)"
Best,"(625, 1349, 81, 34)"
your,"(332, 1352, 82, 38)"
money,"(416, 1352, 122, 38)"
Funds,"(237, 1389, 111, 37)"
Fj,"(113, 1400, 37, 37)"
Start,"(237, 1447, 74, 34)"
100,"(497, 1447, 59, 34)"
with,"(314, 1451, 63, 30)"
just,"(376, 1451, 67, 34)"
Rs,"(442, 1451, 41, 30)"
Message,"(72, 1607, 160, 47)"
99291,"(153, 1674, 111, 41)"
I,"(263, 1681, 19, 31)"
army,"(69, 1681, 92, 38)"
Contact,"(234, 1864, 154, 41)"
PhonePe,"(394, 1864, 177, 41)"
Support,"(576, 1863, 160, 53)"
Powered,"(460, 2058, 126, 30)"
by,"(588, 2058, 38, 34)"
up,"(365, 2098, 118, 49)"
YES,"(544, 2113, 60, 30)"
bank,"(628, 2113, 85, 30)"
UNFEDAMENTINESS,"(354, 2146, 158, 12)"
