prediction,bbox
Pusherhlimitany,"(22, 17, 148, 18)"
pusherlimitany,"(268, 49, 119, 18)"
GT-1,"(22, 50, 29, 15)"
pusherhimtanyt,"(74, 50, 120, 17)"
PRED-->,"(200, 50, 61, 15)"
>,"(50, 54, 17, 11)"
BooPJI,"(26, 82, 64, 20)"
bpji,"(73, 114, 38, 20)"
GT:,"(22, 116, 29, 14)"
PRED-->,"(116, 116, 61, 14)"
boopji,"(184, 116, 51, 17)"
->,"(50, 118, 17, 11)"
Rebellions),"(24, 146, 101, 19)"
GT-->,"(22, 177, 45, 14)"
rebellion99,"(74, 177, 95, 16)"
PRED-->,"(174, 177, 61, 16)"
rebellions,"(242, 176, 87, 17)"
amsharkbot,"(25, 207, 118, 20)"
amsharkbot,"(73, 238, 86, 16)"
lamsha,"(233, 238, 53, 16)"
rkbot,"(285, 238, 44, 16)"
GT:,"(22, 240, 29, 14)"
PRED-,"(166, 240, 44, 14)"
->,"(50, 242, 17, 11)"
->,"(210, 242, 17, 11)"
STRIZBROTHERS,"(25, 271, 149, 24)"
GT-1,"(22, 309, 29, 14)"
stkbrothers,"(73, 309, 96, 16)"
stikkbrothers,"(242, 309, 112, 16)"
PRED-,"(174, 310, 45, 13)"
->,"(50, 313, 17, 10)"
->,"(218, 313, 17, 10)"
